YEAR,DOY,HOUR,MINUTE,MAGNETOPAUSE(MP)/BOW Shock(BS),,X KSM(Rs),Y KSM(Rs),Z KSM(Rs)
2005,290,0,48,MP,Outbound,2.43,-35.13,0.66
2005,293,22,15,MP,Inbound,10.99,-39.05,3.72
2005,293,23,15,MP,Outbound,11.07,-39.03,3.74
2005,294,5,50,MP,Inbound,11.58,-38.84,3.93
2005,294,6,30,MP,Outbound,11.62,-38.82,3.94
2005,297,13,27,BS,Inbound,16.052,-32.07,5.567
2005,297,17,31,BS,Inbound,16.18,-31.49,5.616
2005,297,18,7,BS,Inbound,16.198,-31.402,5.623
2005,297,23,22,MP,Inbound,16.36,-30.64,5.69
2005,297,12,41,BS,Outbound,16.026,-32.177,5.558
2005,297,17,13,BS,Outbound,16.171,-31.534,5.613
2005,297,17,38,BS,Outbound,16.183,-31.473,5.618
2005,297,23,44,MP,Outbound,16.37,-30.57,5.69
2005,298,2,5,MP,Inbound,16.42,-30.22,5.71
2005,298,22,35,MP,Inbound,16.7,-26.6,5.83
2005,298,10,30,MP,Outbound,16.59,-28.82,5.78
2005,298,22,55,MP,Outbound,16.7,-26.53,5.83
2005,299,2,20,MP,Inbound,16.7,-25.86,5.83
2005,299,5,0,MP,Inbound,16.69,-25.31,5.83
2005,299,14,0,MP,Inbound,16.59,-23.38,5.81
2005,299,3,50,MP,Outbound,16.69,-25.55,5.83
2005,299,11,55,MP,Outbound,16.62,-23.84,5.82
2005,307,18,30,MP,Outbound,-13.04,-34.65,-4.67
2005,311,9,20,BS,Inbound,-8.215,-47.981,-2.983
2005,311,7,3,BS,Outbound,-8.365,-47.732,-3.035
2005,312,9,8,BS,Inbound,-6.608,-50.301,-2.419
2005,312,11,3,BS,Inbound,-6.476,-50.466,-2.373
2005,312,16,9,BS,Inbound,-6.121,-50.89,-2.248
2005,312,8,19,BS,Outbound,-6.664,-50.229,-2.439
2005,312,10,4,BS,Outbound,-6.544,-50.382,-2.396
2005,312,13,8,BS,Outbound,-6.331,-50.642,-2.322
2005,313,16,10,BS,Inbound,-4.422,-52.599,-1.652
2005,313,12,3,BS,Outbound,-4.716,-52.34,-1.755
2005,314,21,50,BS,Outbound,-2.272,-54.077,-0.898
2005,315,2,17,BS,Inbound,-1.947,-54.241,-0.784
2005,315,6,32,BS,Outbound,-1.635,-54.383,-0.675
2005,317,19,17,BS,Inbound,2.821,-54.944,0.889
2005,318,17,45,BS,Inbound,4.447,-54.463,1.46
2005,318,10,51,BS,Outbound,3.95,-54.65,1.285
2005,319,14,56,BS,Inbound,5.952,-53.665,1.988
2005,319,9,5,BS,Outbound,5.54,-53.919,1.843
2005,320,7,42,BS,Inbound,7.118,-52.793,2.397
2005,320,6,7,BS,Outbound,7.009,-52.885,2.359
2005,323,15,50,MP,Inbound,12.18,-45.52,4.18
2005,323,16,55,MP,Outbound,12.24,-45.4,4.2
2005,324,1,50,MP,Inbound,12.72,-44.21,4.37
2005,324,5,55,MP,Inbound,12.94,-43.64,4.44
